Service_ID,Service_ID_Group,Service_ID_Group_Name,Service_Name,Service_Type,Category,Description,Duration,Session_Dates_Times,Space_IDs,Location_Type,Provider_IDs,Price_Per_Person,Discount_Type,Discount_Value,Discount_Start_Date,Discount_End_Date,Special_Offer_Code,Discount_Notes,Expiry_Type,Expiry_Period,Extended_Expiry_Option,Discount_participants,Max_Participants,Slots_Available,Wellness_Dimension,,Main_Image,Sub_Images_Videos,Accordion_Title_1,Accordion_Description_1,Accordion_Title_2,Accordion_Desc_2
SRV-ACUPUNCTURE,,,Acupuncture ,1-on-1,Therapies & Care,Acupuncture ,30 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,68,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-ACUPUNCTURE-MAIN.jpg,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-MERIDIAN-THERAPY,,,Meridian Therapy,1-on-1,Therapies & Care,Meridian Therapy,30 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,68,,,,,,,USE_ANYTIME,,,0,30,,Physical,,SRV-MERIDIAN-THERAPY-MAIN.jpeg,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-1,1 Session ,Moxibustion with Infra-red therapy - 1 Session ,1-on-1,Therapies & Care,Moxibustion with Infra-red therapy,30 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,59,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-MAIN.jpeg,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-001.jpeg,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-2,11 Sessions,Moxibustion with Infra-red therapy - 11 Sessions,1-on-1,Therapies & Care,Moxibustion with Infra-red therapy,30 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,590,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-MAIN.jpeg,SRV-MOXIBUSTION-WITH-INFRA-RED-THERAPY-001.jpeg,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-TCM-TUINA,,,TCM Tuina,1-on-1,Therapies & Care,TCM Tuina,30 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,68,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-TCM-TUINA-MAIN.jpg,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-PERSONALISED-HERBAL-PRESCRIPTION,,,Personalised herbal prescription ,1-on-1,Therapies & Care,Personalised herbal prescription ,30 min,,"SPC-SG-CHTCM-INPERSON-001, SPC-VIR-CHTCM-01","Online, In-Person",PROV-THE-YEWCHUN,"herbal : $8 - $20 per day  (delivery included)
consultation : $20-$50 per session",,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-PERSONALISED-HERBAL-PRESCRIPTION-MAIN.jpg,,Session Availability,"Monday , Wed : 11 AM - 9 PM
Sunday : 2 PM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-INTEGRATED-THERAPY-PLAN,SRV-INTEGRATED-THERAPY-PLAN-1,1 Session ,Integrated therapy plan - 1 Session ,1-on-1,Therapies & Care,"Integrated therapy plan for : pain management , sports injury , stroke/post op rehab , performance booster, menses pain , nerve pain",45 min - 60 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,108,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-INTEGRATED-THERAPY-PLAN-MAIN.png,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-INTEGRATED-THERAPY-PLAN,SRV-INTEGRATED-THERAPY-PLAN-2,5 Sessions ,Integrated therapy plan - 5 Sessions,1-on-1,Therapies & Care,"Integrated therapy plan for : pain management , sports injury , stroke/post op rehab , performance booster, menses pain , nerve pain",45 min - 60 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,108,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-INTEGRATED-THERAPY-PLAN-MAIN.png,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-INTEGRATED-THERAPY-PLAN,SRV-INTEGRATED-THERAPY-PLAN-3,11 Sessions,Integrated therapy plan - 11 Sessions,1-on-1,Therapies & Care,"Integrated therapy plan for : pain management , sports injury , stroke/post op rehab , performance booster, menses pain , nerve pain",45 min - 60 min,,SPC-SG-CHTCM-INPERSON-001,In-Person,PROV-THE-YEWCHUN,108,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Mental",,SRV-INTEGRATED-THERAPY-PLAN-MAIN.png,,Session Availability,"Monday - Friday : 9 AM - 9 PM
Saturday - Sunday : 9 AM - 6 PM",Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
SRV-HOUSE-CALL-SERVICE,,,House call service,1-on-1,Therapies & Care,House call service,30 - 60 min,,SPC-SG-CHTCM-PRIV-001,Private,PROV-THE-YEWCHUN,From 108,,,,,,,USE_ANYTIME,,,0,30,,"Physical, Emotional",,SRV-HOUSE-CALL-SERVICE-MAIN.jpg,,Session Availability,To arrange,Refund Policy,Cancel or reschedule at least 24 hours before your appointment for a full refund. Late cancellations are non-refundable.
